event_ts,dir,coin,tfs,align,h1,d1m,d5m,d15m,d1h,mtf,pnl,close_ts,price
2026-07-17T01:55:05.977+00:00,SHORT,ETH,1,100,DOWN,HOLD,SHORT,HOLD,HOLD,1m HOLD 50% RSI18 DOWN · 5m SHORT 67% RSI40 DOWN · 15m HOLD 50% RSI27 DOWN · 1h HOLD 50% RSI30 DOWN,0.3759,2026-07-17T02:46:31.247+00:00,1849.05
2026-07-17T02:49:04.33+00:00,SHORT,BTC,1,75,DOWN,HOLD,HOLD,HOLD,SHORT,1m HOLD 50% RSI37 DOWN · 5m HOLD 50% RSI27 DOWN · 15m HOLD 0% RSI50 SIDEWAYS · 1h SHORT 67% RSI40 DOWN,0.4023,2026-07-17T07:25:22.717+00:00,63410.5
2026-07-17T02:57:22.466+00:00,SHORT,SOL,3,75,DOWN,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI52 SIDEWAYS · 5m SHORT 67% RSI42 DOWN · 15m SHORT 67% RSI43 DOWN · 1h HOLD 50% RSI36 DOWN,0.42149,2026-07-17T05:29:56.753+00:00,74.931
2026-07-17T06:05:16.191+00:00,SHORT,ETH,1,50,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 100% RSI50 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m HOLD 50% RSI32 DOWN · 1h HOLD 50% RSI23 DOWN,0.7141,2026-07-17T08:41:07.601+00:00,1827.35
2026-07-17T06:28:31.54+00:00,SHORT,BTC,1,75,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 100% RSI60 SIDEWAYS · 5m HOLD 50% RSI19 DOWN · 15m HOLD 50% RSI28 DOWN · 1h HOLD 50% RSI16 DOWN,0.20631,2026-07-17T08:23:24.626+00:00,62915.5
2026-07-17T08:06:16.516+00:00,SHORT,BTC,1,75,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 80% RSI36 DOWN · 5m HOLD 0% RSI50 SIDEWAYS · 15m HOLD 50% RSI22 DOWN · 1h HOLD 50% RSI16 DOWN,0.673982,2026-07-17T13:24:23.661+00:00,62864.5
2026-07-17T09:13:43.605+00:00,SHORT,ETH,1,75,DOWN,HOLD,SHORT,HOLD,HOLD,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI51 SIDEWAYS · 15m HOLD 0% RSI50 SIDEWAYS · 1h HOLD 50% RSI24 DOWN,0.91954,2026-07-17T13:03:43.083+00:00,1830.85
2026-07-17T09:36:06.879+00:00,SHORT,BTC,1,50,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 100% RSI69 UP · 5m HOLD 0% RSI50 SIDEWAYS · 15m HOLD 50% RSI58 DOWN · 1h HOLD 50% RSI20 DOWN,-4.0934,2026-07-17T14:01:07.077+00:00,62972.5
2026-07-17T13:51:12.677+00:00,SHORT,ETH,1,75,DOWN,HOLD,SHORT,HOLD,HOLD,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 80% RSI33 DOWN · 15m HOLD 50% RSI29 DOWN · 1h HOLD 50% RSI23 DOWN,,,1814.85
2026-07-17T13:53:47.876+00:00,SHORT,SOL,3,75,DOWN,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI83 SIDEWAYS · 5m SHORT 80% RSI37 DOWN · 15m SHORT 80% RSI35 DOWN · 1h HOLD 50% RSI30 DOWN,,,73.9585
2026-07-17T13:54:28.812+00:00,SHORT,BTC,3,75,DOWN,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI75 SIDEWAYS · 5m SHORT 80% RSI38 DOWN · 15m SHORT 67% RSI43 DOWN · 1h HOLD 50% RSI29 DOWN,,,62863.5
